_id,ine,equipe,cnes,usf,endereco,especialidade,consultas,tipo,procedimentos,atencao,periodo
1,153168,Coque I,1252,US 218 PSF COQUE,"Rua Guapirama, 65, Ilha Joana Bezerra, CEP:50080-730","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",2934,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",4925,Atenção Básica,Janeiro a Dezembro 2023
2,153184,Coque II,1252,US 218 PSF COQUE,"Rua Guapirama, 65, Ilha Joana Bezerra, CEP:50080-730","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3257,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",4812,Atenção Básica,Janeiro a Dezembro 2023
3,153176,Coque III,1252,US 218 PSF COQUE,"Rua Guapirama, 65, Ilha Joana Bezerra, CEP:50080-730","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3495,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",5901,Atenção Básica,Janeiro a Dezembro 2023
4,1555553,Coque IV,1252,US 218 PSF COQUE,"Rua Guapirama, 65, Ilha Joana Bezerra, CEP:50080-730","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",2577,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",4653,Atenção Básica,Janeiro a Dezembro 2023
5,153559,Santa Terezinha I,22187,US 232 PSF ILHA SANTA TEREZINHA,"Rua Artemis, 09,Santo Amaro,CEP51110470","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3595,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",4130,Atenção Básica,Janeiro a Dezembro 2023
6,153540,Santa Terezinha II,22187,US 232 PSF ILHA SANTA TEREZINHA,"Rua Artemis, 09,Santo Amaro,CEP51110470","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",4467,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",5091,Atenção Básica,Janeiro a Dezembro 2023
7,153567,Coelhos I - Rua Ibiturana,22195,US 240 PSF COELHOS I,"Rua Bituruna,110,Coelhos, CEP:50060-000","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3854,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",5464,Atenção Básica,Janeiro a Dezembro 2023
8,153575,Coelhos II - Cais José Mariano,22209,US 241 PSF COELHOS II,"Rua DR Jose Mariano,699,Coelhos, CEP:50060-315","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",5125,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6771,Atenção Básica,Janeiro a Dezembro 2023
9,153583,Santo Amaro I - Sítio do Céu Equipe II,22217,US 242 PSF SANTO AMARO I SITIO DO CEU,"Rua Anchieta,520,Santo Amaro, CEP:50110150","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",4533,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",7252,Atenção Básica,Janeiro a Dezembro 2023
10,153591,Santo Amaro I - Sítio do Céu Equipe I,9384324,US 404 PSF SANTO AMARO III,"AV. Norte Miguel Arraes de Alencar,1271, CEP:50100-000","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",4745,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6214,Atenção Básica,Janeiro a Dezembro 2023
